org,dataset,format,url
frankfurt-am-main,WFS Gestaltungssatzungen Frankfurt am Main,WFS,https://planas.frankfurt.de/wfs/gestaltungssatzungen?service=WFS&version=1.1.0&request=GetCapabilities
frankfurt-am-main,WFS Hochhäuser Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/Hochhaeuser?request=GetCapabilities&service=WFS
frankfurt-am-main,"WFS verkehrsrelevante Baustellen, Lichtsignalanlagen, LSA mit Akustik und Verkehrsmeldungen",WFS,https://geowebdienste.frankfurt.de/Baustellen?service=WFS&version=1.1.0&request=GetCapabilities
frankfurt-am-main,WFS Verkehrsmengen Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/Verkehrsmengen?service=WFS&version=1.1.0&request=GetCapabilities
frankfurt-am-main,WFS Bebauungspläne Frankfurt am Main - Geltungsbereiche,WFS,https://planas.frankfurt.de/wfs/bebauungsplaene_geltungsbereiche?service=WFS&version=1.1.0&request=GetCapabilities
frankfurt-am-main,WFS Amtliche Adressen Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/SGK_Adressen?request=GetCapabilities&service=WFS
frankfurt-am-main,WFS Parken in der Stadt Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/Parken?service=WFS&version=1.1.0&request=GetCapabilities
frankfurt-am-main,Biotopkartierung 2023 (WFS) Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/Biotopkartierung_2023_WFS?request=GetCapabilities&service=WFS
frankfurt-am-main,Biotopkartierung 2020 (WFS) Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/Biotopkartierung_2020_WFS?request=GetCapabilities&service=WFS
frankfurt-am-main,WFS Wahlgebietsgliederung Landtagswahl 2013 – Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/WFS_Landtagswahl_2013?request=GetCapabilities&service=WFS
frankfurt-am-main,Biotopkartierung 2021 (WFS) Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/Biotopkartierung_2021_WFS?request=GetCapabilities&service=WFS
frankfurt-am-main,WFS Seveso-Abstandszonen Frankfurt am Main,WFS,https://planas.frankfurt.de/wfs/seveso_abstandszonen?service=WFS&version=1.1.0&request=GetCapabilities
frankfurt-am-main,WFS Verwaltungseinheiten Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/WFS_Verwaltungseinheiten?request=GetCapabilities&service=WFS
frankfurt-am-main,WFS Wahlgebietsgliederung Landtagswahl 2023 – Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/WFS_Landtagswahl_2023?request=GetCapabilities&service=WFS
frankfurt-am-main,Naturdenkmale (WFS) Frankfurt am Main,WFS,https://geowebdienste.frankfurt.de/WFS_Naturdenkmale?request=GetCapabilities&service=WFS
